onset	duration	trial_type	response_time
0.0	14.347	rest	n/a
14.347	19.398	AM	3.297
33.744	3.232	rest	n/a
36.976	19.389	MA	9.713
56.365	3.233	rest	n/a
59.598	19.398	AM	8.927
78.996	3.232	rest	n/a
82.228	19.393	MA	n/a
101.621	3.23	rest	n/a
104.851	19.395	AM	3.6
124.246	3.233	rest	n/a
127.479	19.394	MA	8.613
146.873	3.232	rest	n/a
150.105	19.397	AM	12.189
169.502	3.234	rest	n/a
172.736	19.397	MA	9.013
192.133	3.232	rest	n/a
195.365	19.388	AM	5.333
214.753	3.233	rest	n/a
217.987	19.397	MA	15.504
237.384	3.232	rest	n/a
240.616	19.394	AM	4.405
260.01	3.232	rest	n/a
263.242	19.393	MA	9.357
282.635	3.232	rest	n/a
285.868	19.394	AM	7.602
305.261	3.232	rest	n/a
308.493	19.397	MA	13.733
327.89	3.233	rest	n/a
331.124	19.397	AM	11.426
350.52	3.233	rest	n/a
353.754	19.389	MA	6.14
373.142	3.235	rest	n/a
376.377	19.396	AM	8.367
395.773	3.232	rest	n/a
399.005	19.394	MA	5.319
418.398	3.231	rest	n/a
421.63	19.394	AM	12.165
441.024	3.232	rest	n/a
444.256	19.393	MA	10.927
463.649	3.233	rest	n/a
466.882	19.393	AM	12.559
486.275	3.234	rest	n/a
489.51	19.4	MA	13.432
508.91	3.231	rest	n/a
512.141	19.394	AM	12.387
531.535	3.227	rest	n/a
534.762	19.399	MA	12.619
554.161	3.232	rest	n/a
557.394	19.393	AM	11.222
576.787	3.232	rest	n/a
580.018	19.394	MA	8.727
599.412	3.232	rest	n/a
602.645	19.393	AM	4.298
622.038	3.232	rest	n/a
625.27	19.395	MA	15.789
644.664	3.232	rest	n/a
647.896	19.402	AM	n/a
667.298	3.232	rest	n/a
670.53	19.393	MA	9.329
689.924	3.0	rest	n/a
