onset	duration	trial_type	response_time
0.0	14.349	rest	n/a
14.349	19.394	AM	6.861
33.743	3.231	rest	n/a
36.975	19.393	MA	12.109
56.367	3.233	rest	n/a
59.601	19.393	AM	4.811
78.993	3.233	rest	n/a
82.227	19.392	MA	n/a
101.619	3.233	rest	n/a
104.852	19.394	AM	4.985
124.246	3.232	rest	n/a
127.477	19.402	MA	16.318
146.88	3.232	rest	n/a
150.112	19.389	AM	3.035
169.501	3.234	rest	n/a
172.734	19.397	MA	18.358
192.131	3.231	rest	n/a
195.363	19.392	AM	5.446
214.754	3.234	rest	n/a
217.989	19.393	MA	10.461
237.382	3.233	rest	n/a
240.615	19.393	AM	3.748
260.008	3.232	rest	n/a
263.24	19.394	MA	9.485
282.634	3.232	rest	n/a
285.866	19.402	AM	3.083
305.268	3.232	rest	n/a
308.5	19.389	MA	6.437
327.889	3.233	rest	n/a
331.122	19.398	AM	11.766
350.52	3.232	rest	n/a
353.752	19.393	MA	11.96
373.145	3.23	rest	n/a
376.374	19.396	AM	4.789
395.77	3.233	rest	n/a
399.003	19.394	MA	5.477
418.397	3.232	rest	n/a
421.629	19.396	AM	n/a
441.025	3.229	rest	n/a
444.255	19.402	MA	10.704
463.657	3.232	rest	n/a
466.888	19.389	AM	11.497
486.277	3.233	rest	n/a
489.509	19.399	MA	6.012
508.908	3.233	rest	n/a
512.14	19.393	AM	5.461
531.534	3.232	rest	n/a
534.765	19.394	MA	8.17
554.159	3.232	rest	n/a
557.391	19.394	AM	8.023
576.785	3.232	rest	n/a
580.018	19.393	MA	17.286
599.41	3.232	rest	n/a
602.642	19.395	AM	3.433
622.037	3.232	rest	n/a
625.269	19.396	MA	9.718
644.665	3.232	rest	n/a
647.897	19.398	AM	6.428
667.296	3.233	rest	n/a
670.528	19.393	MA	n/a
689.922	3.0	rest	n/a
