onset	duration	trial_type	response_time
0.0	14.347	rest	n/a
14.347	19.395	AM	n/a
33.742	3.232	rest	n/a
36.974	19.391	MA	3.136
56.365	3.234	rest	n/a
59.598	19.396	AM	1.804
78.994	3.232	rest	n/a
82.226	19.393	MA	5.383
101.619	3.233	rest	n/a
104.852	19.394	AM	3.692
124.246	3.232	rest	n/a
127.478	19.402	MA	13.127
146.88	3.232	rest	n/a
150.112	19.39	AM	4.476
169.502	3.233	rest	n/a
172.735	19.396	MA	12.498
192.131	3.232	rest	n/a
195.363	19.394	AM	6.041
214.757	3.229	rest	n/a
217.986	19.397	MA	8.712
237.383	3.232	rest	n/a
240.615	19.394	AM	10.672
260.009	3.231	rest	n/a
263.24	19.394	MA	7.901
282.634	3.233	rest	n/a
285.867	19.402	AM	6.733
305.268	3.232	rest	n/a
308.5	19.39	MA	8.884
327.89	3.234	rest	n/a
331.124	19.396	AM	6.802
350.52	3.232	rest	n/a
353.752	19.394	MA	5.952
373.145	3.229	rest	n/a
376.374	19.397	AM	5.793
395.771	3.232	rest	n/a
399.003	19.393	MA	n/a
418.396	3.233	rest	n/a
421.629	19.394	AM	3.946
441.022	3.233	rest	n/a
444.255	19.401	MA	8.134
463.656	3.233	rest	n/a
466.889	19.387	AM	6.911
486.276	3.235	rest	n/a
489.511	19.396	MA	10.264
508.907	3.233	rest	n/a
512.141	19.389	AM	10.087
531.53	3.235	rest	n/a
534.765	19.395	MA	7.445
554.16	3.232	rest	n/a
557.392	19.393	AM	5.316
576.785	3.232	rest	n/a
580.017	19.395	MA	13.156
599.411	3.231	rest	n/a
602.643	19.402	AM	9.247
622.044	3.225	rest	n/a
625.27	19.395	MA	9.955
644.665	3.232	rest	n/a
647.897	19.399	AM	4.324
667.297	3.232	rest	n/a
670.529	19.393	MA	5.974
689.922	3.0	rest	n/a
