onset	duration	trial_type	response_time
0.0	14.344	rest	n/a
14.344	19.394	AM	n/a
33.739	3.232	rest	n/a
36.971	19.401	MA	n/a
56.372	3.232	rest	n/a
59.604	19.39	AM	n/a
78.994	3.233	rest	n/a
82.227	19.396	MA	n/a
101.624	3.232	rest	n/a
104.855	19.389	AM	n/a
124.245	3.234	rest	n/a
127.479	19.396	MA	n/a
146.875	3.233	rest	n/a
150.107	19.394	AM	n/a
169.501	3.232	rest	n/a
172.732	19.394	MA	n/a
192.126	3.232	rest	n/a
195.358	19.395	AM	n/a
214.753	3.232	rest	n/a
217.985	19.397	MA	n/a
237.382	3.233	rest	n/a
240.614	19.398	AM	n/a
260.012	3.232	rest	n/a
263.244	19.393	MA	n/a
282.638	3.229	rest	n/a
285.866	19.396	AM	n/a
305.262	3.233	rest	n/a
308.496	19.393	MA	n/a
327.889	3.233	rest	n/a
331.121	19.394	AM	n/a
350.515	3.232	rest	n/a
353.747	19.402	MA	n/a
373.149	3.232	rest	n/a
376.381	19.388	AM	n/a
395.769	3.233	rest	n/a
399.002	19.398	MA	n/a
418.4	3.232	rest	n/a
421.632	19.393	AM	n/a
441.025	3.229	rest	n/a
444.254	19.398	MA	n/a
463.651	3.232	rest	n/a
466.884	19.393	AM	n/a
486.277	3.233	rest	n/a
489.51	19.393	MA	n/a
508.903	3.233	rest	n/a
512.136	19.401	AM	n/a
531.537	3.232	rest	n/a
534.769	19.388	MA	n/a
554.157	3.233	rest	n/a
557.39	19.399	AM	n/a
576.789	3.232	rest	n/a
580.02	19.394	MA	n/a
599.414	3.233	rest	n/a
602.647	19.393	AM	n/a
622.04	3.231	rest	n/a
625.272	19.394	MA	n/a
644.666	3.233	rest	n/a
647.898	19.392	AM	n/a
667.291	3.232	rest	n/a
670.523	19.403	MA	n/a
689.926	3.0	rest	n/a
