onset	duration	trial_type	response_time
0.0	14.344	rest	n/a
14.344	19.402	AM	n/a
33.746	3.224	rest	n/a
36.97	19.397	MA	n/a
56.367	3.234	rest	n/a
59.601	19.396	AM	1.367
78.997	3.232	rest	n/a
82.23	19.389	MA	5.514
101.619	3.233	rest	n/a
104.852	19.397	AM	1.686
124.248	3.232	rest	n/a
127.48	19.394	MA	7.53
146.874	3.232	rest	n/a
150.106	19.394	AM	3.556
169.5	3.233	rest	n/a
172.733	19.393	MA	8.414
192.126	3.241	rest	n/a
195.367	19.388	AM	1.575
214.755	3.233	rest	n/a
217.988	19.398	MA	5.093
237.386	3.231	rest	n/a
240.617	19.39	AM	1.341
260.007	3.233	rest	n/a
263.24	19.397	MA	14.87
282.637	3.232	rest	n/a
285.869	19.394	AM	1.285
305.262	3.233	rest	n/a
308.495	19.393	MA	2.798
327.888	3.232	rest	n/a
331.121	19.394	AM	3.492
350.515	3.239	rest	n/a
353.754	19.388	MA	4.786
373.142	3.234	rest	n/a
376.376	19.398	AM	2.614
395.774	3.232	rest	n/a
399.006	19.393	MA	5.805
418.399	3.229	rest	n/a
421.628	19.397	AM	4.559
441.025	3.232	rest	n/a
444.258	19.394	MA	5.657
463.651	3.232	rest	n/a
466.883	19.393	AM	2.074
486.277	3.232	rest	n/a
489.509	19.394	MA	3.731
508.903	3.232	rest	n/a
512.136	19.395	AM	5.147
531.53	3.234	rest	n/a
534.764	19.399	MA	1.965
554.163	3.232	rest	n/a
557.394	19.393	AM	1.443
576.788	3.232	rest	n/a
580.02	19.394	MA	5.559
599.414	3.232	rest	n/a
602.646	19.393	AM	3.554
622.039	3.232	rest	n/a
625.271	19.394	MA	10.399
644.665	3.232	rest	n/a
647.898	19.394	AM	1.374
667.291	3.24	rest	n/a
670.532	19.387	MA	5.72
689.918	3.0	rest	n/a
