onset	duration	trial_type	response_time
0.0	14.347	rest	n/a
14.347	19.39	AM	n/a
33.737	3.233	rest	n/a
36.969	19.4	MA	n/a
56.369	3.231	rest	n/a
59.601	19.396	AM	n/a
78.996	3.231	rest	n/a
82.227	19.395	MA	n/a
101.622	3.232	rest	n/a
104.854	19.395	AM	n/a
124.249	3.232	rest	n/a
127.481	19.392	MA	n/a
146.873	3.233	rest	n/a
150.106	19.396	AM	n/a
169.501	3.232	rest	n/a
172.733	19.392	MA	n/a
192.125	3.233	rest	n/a
195.358	19.397	AM	n/a
214.755	3.231	rest	n/a
217.986	19.395	MA	n/a
237.382	3.231	rest	n/a
240.612	19.395	AM	n/a
260.008	3.232	rest	n/a
263.24	19.395	MA	n/a
282.635	3.231	rest	n/a
285.865	19.395	AM	n/a
305.26	3.232	rest	n/a
308.492	19.395	MA	n/a
327.887	3.232	rest	n/a
331.119	19.396	AM	n/a
350.514	3.231	rest	n/a
353.746	19.395	MA	n/a
373.141	3.238	rest	n/a
376.379	19.389	AM	n/a
395.768	3.239	rest	n/a
399.007	19.387	MA	n/a
418.394	3.237	rest	n/a
421.631	19.39	AM	n/a
441.021	3.239	rest	n/a
444.26	19.387	MA	n/a
463.647	3.235	rest	n/a
466.882	19.393	AM	n/a
486.274	3.238	rest	n/a
489.512	19.396	MA	n/a
508.908	3.231	rest	n/a
512.14	19.394	AM	n/a
531.533	3.232	rest	n/a
534.766	19.396	MA	n/a
554.161	3.231	rest	n/a
557.392	19.393	AM	n/a
576.785	3.233	rest	n/a
580.018	19.396	MA	n/a
599.414	3.231	rest	n/a
602.645	19.392	AM	n/a
622.037	3.233	rest	n/a
625.27	19.398	MA	n/a
644.667	3.23	rest	n/a
647.897	19.396	AM	n/a
667.294	3.231	rest	n/a
670.524	19.396	MA	n/a
689.92	3.0	rest	n/a
