onset	duration	trial_type	response_time
0.0	14.346	rest	n/a
14.346	19.393	AM	n/a
33.739	3.233	rest	n/a
36.972	19.396	MA	n/a
56.368	3.231	rest	n/a
59.599	19.391	AM	n/a
78.99	3.234	rest	n/a
82.224	19.397	MA	n/a
101.62	3.231	rest	n/a
104.851	19.395	AM	n/a
124.246	3.231	rest	n/a
127.478	19.395	MA	n/a
146.873	3.232	rest	n/a
150.105	19.395	AM	n/a
169.499	3.232	rest	n/a
172.731	19.395	MA	n/a
192.127	3.231	rest	n/a
195.357	19.395	AM	n/a
214.752	3.232	rest	n/a
217.984	19.395	MA	n/a
237.378	3.232	rest	n/a
240.611	19.395	AM	n/a
260.006	3.239	rest	n/a
263.245	19.388	MA	n/a
282.633	3.238	rest	n/a
285.872	19.387	AM	n/a
305.259	3.238	rest	n/a
308.496	19.389	MA	n/a
327.886	3.239	rest	n/a
331.125	19.388	AM	n/a
350.512	3.235	rest	n/a
353.748	19.399	MA	n/a
373.147	3.231	rest	n/a
376.378	19.396	AM	n/a
395.773	3.231	rest	n/a
399.004	19.395	MA	n/a
418.399	3.231	rest	n/a
421.631	19.396	AM	n/a
441.026	3.231	rest	n/a
444.257	19.393	MA	n/a
463.65	3.234	rest	n/a
466.884	19.395	AM	n/a
486.279	3.231	rest	n/a
489.51	19.392	MA	n/a
508.902	3.233	rest	n/a
512.135	19.396	AM	n/a
531.532	3.232	rest	n/a
534.763	19.395	MA	n/a
554.158	3.232	rest	n/a
557.39	19.395	AM	n/a
576.785	3.231	rest	n/a
580.016	19.396	MA	n/a
599.412	3.231	rest	n/a
602.643	19.396	AM	n/a
622.038	3.23	rest	n/a
625.268	19.396	MA	n/a
644.664	3.231	rest	n/a
647.895	19.395	AM	n/a
667.29	3.231	rest	n/a
670.522	19.396	MA	n/a
689.918	3.0	rest	n/a
