onset	duration	trial_type	response_time
0.0	14.352	rest	n/a
14.352	19.387	AM	n/a
33.739	3.238	rest	n/a
36.977	19.389	MA	n/a
56.366	3.239	rest	n/a
59.605	19.39	AM	n/a
78.994	3.234	rest	n/a
82.228	19.398	MA	n/a
101.627	3.23	rest	n/a
104.857	19.396	AM	n/a
124.253	3.227	rest	n/a
127.479	19.4	MA	n/a
146.879	3.231	rest	n/a
150.11	19.396	AM	n/a
169.506	3.231	rest	n/a
172.737	19.394	MA	n/a
192.131	3.232	rest	n/a
195.364	19.395	AM	n/a
214.759	3.231	rest	n/a
217.99	19.393	MA	n/a
237.383	3.233	rest	n/a
240.616	19.396	AM	n/a
260.012	3.23	rest	n/a
263.242	19.396	MA	n/a
282.638	3.229	rest	n/a
285.867	19.398	AM	n/a
305.265	3.231	rest	n/a
308.496	19.395	MA	n/a
327.891	3.23	rest	n/a
331.122	19.396	AM	n/a
350.518	3.231	rest	n/a
353.749	19.394	MA	n/a
373.143	3.232	rest	n/a
376.375	19.395	AM	n/a
395.77	3.232	rest	n/a
399.002	19.394	MA	n/a
418.397	3.24	rest	n/a
421.636	19.387	AM	n/a
441.024	3.24	rest	n/a
444.263	19.386	MA	n/a
463.65	3.239	rest	n/a
466.889	19.389	AM	n/a
486.277	3.238	rest	n/a
489.516	19.391	MA	n/a
508.907	3.233	rest	n/a
512.14	19.398	AM	n/a
531.538	3.231	rest	n/a
534.769	19.389	MA	n/a
554.158	3.233	rest	n/a
557.391	19.4	AM	n/a
576.791	3.231	rest	n/a
580.022	19.395	MA	n/a
599.417	3.232	rest	n/a
602.649	19.394	AM	n/a
622.043	3.233	rest	n/a
625.275	19.395	MA	n/a
644.67	3.231	rest	n/a
647.901	19.393	AM	n/a
667.294	3.233	rest	n/a
670.527	19.397	MA	n/a
689.924	3.0	rest	n/a
