onset	duration	trial_type	response_time
0.0	14.349	rest	n/a
14.349	19.393	AM	2.497
33.742	3.233	rest	n/a
36.975	19.393	MA	2.547
56.368	3.232	rest	n/a
59.6	19.393	AM	2.852
78.993	3.241	rest	n/a
82.234	19.385	MA	2.302
101.62	3.235	rest	n/a
104.855	19.399	AM	2.067
124.254	3.232	rest	n/a
127.485	19.394	MA	3.564
146.879	3.227	rest	n/a
150.106	19.399	AM	2.801
169.505	3.233	rest	n/a
172.737	19.394	MA	3.234
192.131	3.233	rest	n/a
195.363	19.393	AM	1.865
214.756	3.232	rest	n/a
217.989	19.393	MA	5.977
237.382	3.233	rest	n/a
240.615	19.393	AM	1.859
260.008	3.233	rest	n/a
263.24	19.394	MA	2.539
282.634	3.24	rest	n/a
285.874	19.395	AM	2.2
305.268	3.231	rest	n/a
308.499	19.394	MA	1.549
327.893	3.233	rest	n/a
331.126	19.393	AM	1.692
350.519	3.232	rest	n/a
353.752	19.392	MA	15.796
373.144	3.233	rest	n/a
376.377	19.393	AM	1.591
395.77	3.233	rest	n/a
399.003	19.394	MA	3.384
418.397	3.233	rest	n/a
421.629	19.401	AM	1.671
441.031	3.232	rest	n/a
444.263	19.393	MA	2.453
463.656	3.232	rest	n/a
466.888	19.393	AM	1.727
486.281	3.232	rest	n/a
489.514	19.394	MA	1.617
508.908	3.232	rest	n/a
512.139	19.394	AM	1.596
531.533	3.232	rest	n/a
534.765	19.394	MA	1.937
554.159	3.232	rest	n/a
557.39	19.394	AM	1.245
576.785	3.232	rest	n/a
580.017	19.401	MA	3.582
599.418	3.225	rest	n/a
602.643	19.401	AM	2.775
622.045	3.232	rest	n/a
625.277	19.393	MA	5.706
644.67	3.233	rest	n/a
647.903	19.393	AM	2.954
667.296	3.233	rest	n/a
670.528	19.393	MA	5.566
689.921	3.0	rest	n/a
