onset	duration	trial_type	response_time
0.0	14.349	rest	n/a
14.349	19.393	AM	2.728
33.742	3.233	rest	n/a
36.975	19.393	MA	2.2
56.368	3.232	rest	n/a
59.6	19.394	AM	3.16
78.994	3.232	rest	n/a
82.226	19.396	MA	2.168
101.622	3.233	rest	n/a
104.855	19.398	AM	3.529
124.253	3.232	rest	n/a
127.486	19.394	MA	4.383
146.88	3.227	rest	n/a
150.106	19.399	AM	1.466
169.505	3.233	rest	n/a
172.737	19.394	MA	2.087
192.131	3.231	rest	n/a
195.362	19.394	AM	2.122
214.756	3.232	rest	n/a
217.989	19.393	MA	12.808
237.382	3.241	rest	n/a
240.623	19.386	AM	1.976
260.008	3.234	rest	n/a
263.243	19.399	MA	3.083
282.642	3.232	rest	n/a
285.874	19.394	AM	2.305
305.268	3.227	rest	n/a
308.495	19.399	MA	2.81
327.894	3.232	rest	n/a
331.125	19.394	AM	2.07
350.519	3.232	rest	n/a
353.751	19.394	MA	4.118
373.145	3.231	rest	n/a
376.377	19.394	AM	3.18
395.77	3.232	rest	n/a
399.003	19.394	MA	9.771
418.397	3.233	rest	n/a
421.629	19.401	AM	2.177
441.03	3.233	rest	n/a
444.263	19.394	MA	3.457
463.656	3.232	rest	n/a
466.888	19.393	AM	2.853
486.282	3.233	rest	n/a
489.514	19.394	MA	6.346
508.908	3.232	rest	n/a
512.14	19.393	AM	1.742
531.533	3.232	rest	n/a
534.765	19.393	MA	3.602
554.158	3.233	rest	n/a
557.392	19.394	AM	2.713
576.785	3.232	rest	n/a
580.018	19.401	MA	2.001
599.419	3.233	rest	n/a
602.652	19.393	AM	2.413
622.045	3.232	rest	n/a
625.277	19.393	MA	8.933
644.67	3.233	rest	n/a
647.903	19.394	AM	2.218
667.296	3.232	rest	n/a
670.528	19.394	MA	2.502
689.921	3.0	rest	n/a
