onset	duration	trial_type	response_time
0.0	14.313	rest	n/a
14.313	19.396	AM	1.679
33.709	3.231	rest	n/a
36.94	19.394	MA	2.491
56.335	3.232	rest	n/a
59.567	19.393	AM	2.9
78.96	3.232	rest	n/a
82.192	19.403	MA	3.684
101.594	3.232	rest	n/a
104.826	19.39	AM	1.973
124.216	3.233	rest	n/a
127.45	19.396	MA	4.9
146.845	3.233	rest	n/a
150.078	19.39	AM	1.728
169.468	3.232	rest	n/a
172.7	19.397	MA	3.401
192.097	3.232	rest	n/a
195.33	19.393	AM	2.41
214.722	3.233	rest	n/a
217.955	19.394	MA	1.893
237.349	3.233	rest	n/a
240.581	19.393	AM	1.601
259.974	3.241	rest	n/a
263.215	19.389	MA	3.251
282.604	3.233	rest	n/a
285.837	19.398	AM	1.514
305.234	3.231	rest	n/a
308.465	19.39	MA	2.488
327.856	3.233	rest	n/a
331.088	19.397	AM	3.187
350.485	3.232	rest	n/a
353.717	19.394	MA	2.893
373.111	3.232	rest	n/a
376.343	19.394	AM	6.283
395.737	3.232	rest	n/a
398.969	19.402	MA	10.201
418.371	3.231	rest	n/a
421.602	19.386	AM	2.374
440.989	3.236	rest	n/a
444.225	19.397	MA	6.394
463.622	3.232	rest	n/a
466.855	19.394	AM	1.449
486.248	3.229	rest	n/a
489.477	19.397	MA	4.433
508.874	3.232	rest	n/a
512.106	19.393	AM	5.461
531.499	3.231	rest	n/a
534.731	19.394	MA	2.082
554.125	3.233	rest	n/a
557.358	19.394	AM	5.128
576.752	3.239	rest	n/a
579.991	19.388	MA	5.246
599.379	3.233	rest	n/a
602.613	19.398	AM	n/a
622.01	3.232	rest	n/a
625.243	19.394	MA	7.772
644.637	3.231	rest	n/a
647.868	19.394	AM	3.181
667.262	3.233	rest	n/a
670.495	19.393	MA	1.838
689.888	3.0	rest	n/a
