onset	duration	trial_type	response_time
0.0	14.346	rest	n/a
14.346	19.394	AM	2.516
33.74	3.232	rest	n/a
36.972	19.394	MA	1.745
56.366	3.235	rest	n/a
59.601	19.398	AM	1.964
78.999	3.232	rest	n/a
82.232	19.388	MA	4.077
101.62	3.237	rest	n/a
104.857	19.393	AM	6.51
124.25	3.233	rest	n/a
127.483	19.393	MA	4.799
146.876	3.232	rest	n/a
150.108	19.393	AM	2.459
169.502	3.232	rest	n/a
172.734	19.394	MA	13.003
192.128	3.232	rest	n/a
195.36	19.395	AM	2.773
214.755	3.233	rest	n/a
217.988	19.399	MA	6.686
237.387	3.233	rest	n/a
240.62	19.393	AM	2.567
260.014	3.232	rest	n/a
263.245	19.394	MA	2.904
282.64	3.232	rest	n/a
285.871	19.394	AM	3.5
305.265	3.232	rest	n/a
308.497	19.393	MA	3.641
327.89	3.232	rest	n/a
331.123	19.394	AM	3.48
350.516	3.232	rest	n/a
353.749	19.394	MA	5.241
373.143	3.232	rest	n/a
376.375	19.401	AM	1.981
395.776	3.233	rest	n/a
399.008	19.393	MA	n/a
418.402	3.232	rest	n/a
421.634	19.394	AM	1.707
441.028	3.232	rest	n/a
444.26	19.393	MA	3.396
463.653	3.233	rest	n/a
466.886	19.393	AM	1.904
486.279	3.231	rest	n/a
489.511	19.394	MA	4.276
508.905	3.232	rest	n/a
512.137	19.394	AM	2.597
531.531	3.24	rest	n/a
534.77	19.394	MA	3.566
554.165	3.232	rest	n/a
557.397	19.394	AM	1.782
576.79	3.232	rest	n/a
580.023	19.393	MA	6.391
599.416	3.233	rest	n/a
602.649	19.394	AM	3.563
622.042	3.232	rest	n/a
625.274	19.394	MA	2.232
644.668	3.232	rest	n/a
647.9	19.393	AM	4.148
667.293	3.232	rest	n/a
670.525	19.394	MA	1.537
689.92	3.0	rest	n/a
