onset	duration	trial_type	response_time
0.0	14.312	rest	n/a
14.312	19.4	AM	1.475
33.712	3.227	rest	n/a
36.939	19.393	MA	2.054
56.332	3.24	rest	n/a
59.573	19.391	AM	2.232
78.963	3.233	rest	n/a
82.197	19.395	MA	1.763
101.591	3.232	rest	n/a
104.824	19.392	AM	1.838
124.215	3.232	rest	n/a
127.447	19.396	MA	8.478
146.843	3.232	rest	n/a
150.076	19.394	AM	n/a
169.469	3.231	rest	n/a
172.7	19.394	MA	3.854
192.094	3.233	rest	n/a
195.327	19.402	AM	2.841
214.729	3.232	rest	n/a
217.961	19.39	MA	1.994
237.351	3.233	rest	n/a
240.584	19.396	AM	1.735
259.98	3.233	rest	n/a
263.212	19.39	MA	5.7
282.602	3.233	rest	n/a
285.836	19.396	AM	2.214
305.231	3.233	rest	n/a
308.464	19.394	MA	5.676
327.858	3.232	rest	n/a
331.089	19.394	AM	1.672
350.483	3.233	rest	n/a
353.716	19.401	MA	1.22
373.117	3.233	rest	n/a
376.35	19.389	AM	1.949
395.738	3.234	rest	n/a
398.972	19.396	MA	3.715
418.368	3.232	rest	n/a
421.601	19.394	AM	4.006
440.995	3.229	rest	n/a
444.224	19.397	MA	2.907
463.62	3.232	rest	n/a
466.852	19.393	AM	3.474
486.245	3.233	rest	n/a
489.479	19.392	MA	12.168
508.871	3.233	rest	n/a
512.104	19.393	AM	4.084
531.497	3.241	rest	n/a
534.738	19.388	MA	3.212
554.126	3.234	rest	n/a
557.36	19.397	AM	3.35
576.757	3.232	rest	n/a
579.99	19.389	MA	2.905
599.378	3.237	rest	n/a
602.615	19.394	AM	2.454
622.009	3.231	rest	n/a
625.24	19.394	MA	9.053
644.634	3.232	rest	n/a
647.866	19.394	AM	2.697
667.26	3.232	rest	n/a
670.492	19.395	MA	2.027
689.887	3.0	rest	n/a
