onset	duration	trial_type	response_time
0.0	14.345	rest	n/a
14.345	19.396	AM	17.185
33.741	3.231	rest	n/a
36.972	19.392	MA	4.994
56.364	3.234	rest	n/a
59.598	19.396	AM	4.096
78.993	3.231	rest	n/a
82.225	19.395	MA	8.076
101.62	3.232	rest	n/a
104.851	19.394	AM	3.023
124.245	3.233	rest	n/a
127.478	19.395	MA	14.999
146.873	3.232	rest	n/a
150.104	19.394	AM	5.308
169.499	3.232	rest	n/a
172.731	19.394	MA	8.944
192.126	3.24	rest	n/a
195.366	19.387	AM	4.531
214.753	3.239	rest	n/a
217.992	19.387	MA	16.41
237.379	3.236	rest	n/a
240.615	19.391	AM	5.784
260.006	3.239	rest	n/a
263.245	19.389	MA	7.607
282.634	3.233	rest	n/a
285.867	19.399	AM	3.519
305.267	3.231	rest	n/a
308.498	19.396	MA	13.025
327.894	3.23	rest	n/a
331.124	19.396	AM	2.805
350.52	3.231	rest	n/a
353.751	19.395	MA	18.044
373.147	3.23	rest	n/a
376.377	19.396	AM	3.365
395.773	3.231	rest	n/a
399.004	19.395	MA	18.148
418.399	3.231	rest	n/a
421.63	19.392	AM	2.136
441.022	3.234	rest	n/a
444.256	19.396	MA	10.645
463.652	3.231	rest	n/a
466.883	19.396	AM	6.542
486.279	3.23	rest	n/a
489.509	19.396	MA	11.889
508.905	3.231	rest	n/a
512.136	19.395	AM	7.013
531.531	3.231	rest	n/a
534.763	19.394	MA	9.541
554.157	3.232	rest	n/a
557.389	19.396	AM	4.502
576.785	3.231	rest	n/a
580.016	19.394	MA	n/a
599.41	3.232	rest	0.07
602.642	19.395	AM	5.137
622.038	3.232	rest	n/a
625.269	19.395	MA	9.595
644.664	3.24	rest	n/a
647.904	19.386	AM	2.708
667.29	3.238	rest	n/a
670.528	19.389	MA	7.616
689.917	3.0	rest	n/a
