onset	duration	trial_type	response_time
0.0	14.348	rest	n/a
14.348	19.396	AM	5.591
33.743	3.231	rest	n/a
36.974	19.393	MA	10.397
56.368	3.233	rest	n/a
59.601	19.396	AM	7.653
78.996	3.231	rest	n/a
82.227	19.392	MA	7.245
101.62	3.233	rest	n/a
104.852	19.397	AM	8.694
124.249	3.231	rest	n/a
127.48	19.395	MA	16.001
146.875	3.232	rest	n/a
150.107	19.395	AM	n/a
169.502	3.231	rest	n/a
172.733	19.396	MA	13.466
192.129	3.231	rest	n/a
195.36	19.395	AM	9.269
214.755	3.231	rest	n/a
217.987	19.394	MA	12.879
237.381	3.232	rest	n/a
240.613	19.395	AM	8.925
260.008	3.232	rest	n/a
263.241	19.394	MA	14.988
282.635	3.239	rest	n/a
285.874	19.395	AM	9.562
305.269	3.231	rest	n/a
308.5	19.388	MA	7.552
327.888	3.237	rest	n/a
331.125	19.397	AM	14.614
350.523	3.231	rest	n/a
353.753	19.39	MA	5.576
373.144	3.233	rest	n/a
376.376	19.399	AM	4.73
395.776	3.23	rest	n/a
399.006	19.396	MA	n/a
418.402	3.226	rest	n/a
421.628	19.4	AM	2.447
441.028	3.231	rest	n/a
444.26	19.395	MA	14.861
463.655	3.232	rest	n/a
466.886	19.394	AM	5.225
486.28	3.232	rest	n/a
489.513	19.395	MA	5.009
508.908	3.231	rest	n/a
512.138	19.392	AM	4.837
531.531	3.233	rest	n/a
534.764	19.397	MA	5.639
554.161	3.23	rest	n/a
557.391	19.396	AM	13.525
576.787	3.231	rest	n/a
580.018	19.396	MA	10.943
599.414	3.231	rest	n/a
602.645	19.395	AM	9.735
622.04	3.231	rest	n/a
625.271	19.395	MA	11.643
644.666	3.232	rest	n/a
647.898	19.395	AM	4.194
667.293	3.232	rest	n/a
670.525	19.394	MA	7.554
689.919	3.0	rest	n/a
