onset	duration	trial_type	response_time
0.0	14.352	rest	n/a
14.352	19.391	AM	n/a
33.743	3.233	rest	n/a
36.976	19.395	MA	n/a
56.371	3.232	rest	n/a
59.604	19.391	AM	n/a
78.994	3.233	rest	n/a
82.228	19.395	MA	n/a
101.623	3.232	rest	n/a
104.855	19.391	AM	n/a
124.247	3.233	rest	n/a
127.48	19.395	MA	n/a
146.874	3.232	rest	n/a
150.106	19.402	AM	n/a
169.509	3.231	rest	n/a
172.74	19.39	MA	n/a
192.13	3.234	rest	n/a
195.364	19.396	AM	n/a
214.76	3.232	rest	n/a
217.992	19.39	MA	n/a
237.382	3.233	rest	n/a
240.615	19.397	AM	n/a
260.012	3.232	rest	n/a
263.243	19.394	MA	n/a
282.637	3.232	rest	n/a
285.869	19.393	AM	n/a
305.262	3.233	rest	n/a
308.495	19.402	MA	n/a
327.897	3.233	rest	n/a
331.13	19.389	AM	n/a
350.518	3.234	rest	n/a
353.752	19.397	MA	n/a
373.149	3.232	rest	n/a
376.381	19.39	AM	n/a
395.771	3.232	rest	n/a
399.003	19.397	MA	n/a
418.4	3.232	rest	n/a
421.632	19.393	AM	n/a
441.026	3.231	rest	n/a
444.257	19.394	MA	n/a
463.651	3.233	rest	n/a
466.883	19.394	AM	n/a
486.277	3.241	rest	n/a
489.518	19.388	MA	n/a
508.905	3.234	rest	n/a
512.14	19.397	AM	n/a
531.537	3.232	rest	n/a
534.768	19.39	MA	n/a
554.158	3.233	rest	n/a
557.391	19.397	AM	n/a
576.788	3.232	rest	n/a
580.02	19.394	MA	n/a
599.414	3.232	rest	n/a
602.646	19.393	AM	n/a
622.04	3.233	rest	n/a
625.272	19.394	MA	n/a
644.666	3.24	rest	n/a
647.906	19.387	AM	n/a
667.294	3.234	rest	n/a
670.527	19.398	MA	n/a
689.925	3.0	rest	n/a
