onset	duration	trial_type	response_time
0.0	14.343	rest	n/a
14.343	19.395	AM	3.047
33.738	3.231	rest	n/a
36.969	19.395	MA	n/a
56.365	3.231	rest	n/a
59.596	19.395	AM	3.016
78.991	3.234	rest	n/a
82.226	19.392	MA	7.699
101.618	3.239	rest	n/a
104.856	19.388	AM	3.939
124.244	3.233	rest	n/a
127.477	19.401	MA	15.618
146.878	3.232	rest	n/a
150.11	19.396	AM	3.826
169.506	3.231	rest	n/a
172.736	19.392	MA	12.775
192.129	3.234	rest	n/a
195.363	19.395	AM	7.91
214.758	3.231	rest	n/a
217.99	19.39	MA	18.391
237.379	3.234	rest	n/a
240.613	19.398	AM	6.769
260.011	3.231	rest	n/a
263.242	19.395	MA	9.019
282.637	3.232	rest	n/a
285.869	19.395	AM	4.231
305.264	3.231	rest	n/a
308.494	19.396	MA	n/a
327.891	3.231	rest	n/a
331.122	19.395	AM	2.06
350.517	3.232	rest	n/a
353.749	19.395	MA	14.648
373.144	3.231	rest	n/a
376.374	19.394	AM	7.507
395.769	3.233	rest	n/a
399.001	19.395	MA	15.867
418.396	3.231	rest	n/a
421.627	19.395	AM	5.678
441.022	3.231	rest	n/a
444.254	19.396	MA	10.857
463.649	3.232	rest	n/a
466.881	19.395	AM	6.2
486.276	3.231	rest	n/a
489.507	19.396	MA	15.014
508.903	3.232	rest	n/a
512.134	19.395	AM	5.197
531.529	3.239	rest	n/a
534.768	19.387	MA	n/a
554.156	3.233	rest	n/a
557.389	19.393	AM	2.607
576.782	3.24	rest	n/a
580.022	19.387	MA	7.072
599.409	3.239	rest	n/a
602.648	19.392	AM	6.724
622.04	3.234	rest	n/a
625.274	19.395	MA	12.947
644.669	3.231	rest	n/a
647.9	19.391	AM	5.823
667.291	3.234	rest	n/a
670.525	19.398	MA	12.478
689.922	3.0	rest	n/a
