onset	duration	trial_type	response_time
0.0	14.343	rest	n/a
14.343	19.393	AM	2.382
33.736	3.236	rest	n/a
36.972	19.399	MA	2.1
56.371	3.232	rest	n/a
59.603	19.388	AM	2.78
78.991	3.233	rest	n/a
82.223	19.398	MA	2.007
101.622	3.231	rest	n/a
104.853	19.394	AM	3.378
124.247	3.233	rest	n/a
127.48	19.393	MA	2.853
146.873	3.233	rest	n/a
150.106	19.393	AM	1.96
169.499	3.232	rest	n/a
172.731	19.395	MA	2.738
192.127	3.234	rest	n/a
195.361	19.399	AM	2.962
214.76	3.231	rest	n/a
217.991	19.388	MA	1.695
237.379	3.238	rest	n/a
240.617	19.393	AM	2.504
260.01	3.232	rest	n/a
263.242	19.393	MA	3.244
282.636	3.233	rest	n/a
285.868	19.394	AM	2.626
305.262	3.231	rest	n/a
308.493	19.394	MA	1.718
327.887	3.233	rest	n/a
331.12	19.394	AM	1.167
350.514	3.232	rest	n/a
353.746	19.402	MA	3.62
373.147	3.232	rest	n/a
376.379	19.394	AM	2.841
395.773	3.227	rest	n/a
399.0	19.399	MA	3.378
418.399	3.232	rest	n/a
421.631	19.393	AM	1.255
441.024	3.232	rest	n/a
444.256	19.394	MA	3.093
463.65	3.232	rest	n/a
466.882	19.394	AM	2.32
486.276	3.232	rest	n/a
489.508	19.394	MA	1.585
508.902	3.234	rest	n/a
512.136	19.4	AM	1.934
531.536	3.232	rest	n/a
534.768	19.394	MA	1.076
554.162	3.232	rest	n/a
557.394	19.393	AM	4.377
576.787	3.233	rest	n/a
580.02	19.393	MA	2.075
599.413	3.232	rest	n/a
602.645	19.393	AM	5.281
622.038	3.233	rest	n/a
625.271	19.393	MA	3.467
644.664	3.233	rest	n/a
647.897	19.393	AM	1.176
667.29	3.233	rest	n/a
670.523	19.402	MA	0.844
689.925	3.0	rest	n/a
