onset	duration	trial_type	response_time
0.0	14.32	rest	n/a
14.32	19.387	AM	10.922
33.707	3.233	rest	n/a
36.94	19.398	MA	2.02
56.338	3.232	rest	n/a
59.571	19.393	AM	1.862
78.964	3.232	rest	n/a
82.196	19.394	MA	2.522
101.59	3.232	rest	n/a
104.822	19.393	AM	2.089
124.216	3.232	rest	n/a
127.448	19.393	MA	6.878
146.841	3.232	rest	n/a
150.074	19.394	AM	1.697
169.468	3.232	rest	n/a
172.7	19.395	MA	2.244
192.095	3.233	rest	n/a
195.328	19.399	AM	1.954
214.727	3.232	rest	n/a
217.959	19.394	MA	4.416
237.353	3.232	rest	n/a
240.585	19.393	AM	1.104
259.978	3.232	rest	n/a
263.21	19.394	MA	2.581
282.604	3.232	rest	n/a
285.836	19.393	AM	2.234
305.229	3.233	rest	n/a
308.462	19.394	MA	2.205
327.856	3.233	rest	n/a
331.088	19.394	AM	1.716
350.482	3.233	rest	n/a
353.716	19.399	MA	2.974
373.115	3.233	rest	n/a
376.348	19.393	AM	1.33
395.741	3.233	rest	n/a
398.973	19.393	MA	4.008
418.366	3.232	rest	n/a
421.599	19.394	AM	1.503
440.992	3.233	rest	n/a
444.225	19.394	MA	4.137
463.618	3.232	rest	n/a
466.851	19.394	AM	2.0
486.245	3.232	rest	n/a
489.477	19.402	MA	4.731
508.878	3.225	rest	n/a
512.104	19.4	AM	1.703
531.503	3.232	rest	n/a
534.736	19.393	MA	2.344
554.129	3.233	rest	n/a
557.362	19.393	AM	1.99
576.755	3.232	rest	n/a
579.987	19.394	MA	2.499
599.381	3.232	rest	n/a
602.613	19.393	AM	2.135
622.006	3.233	rest	n/a
625.239	19.394	MA	2.694
644.632	3.241	rest	n/a
647.873	19.394	AM	1.775
667.267	3.232	rest	n/a
670.499	19.393	MA	1.083
689.892	3.0	rest	n/a
