onset	duration	trial_type	response_time
0.0	14.346	rest	n/a
14.346	19.393	AM	1.689
33.739	3.233	rest	n/a
36.972	19.394	MA	1.888
56.365	3.24	rest	n/a
59.606	19.393	AM	1.389
78.999	3.226	rest	n/a
82.224	19.399	MA	3.071
101.624	3.233	rest	n/a
104.857	19.394	AM	1.982
124.251	3.232	rest	n/a
127.483	19.393	MA	3.76
146.876	3.232	rest	n/a
150.108	19.393	AM	1.502
169.501	3.232	rest	n/a
172.734	19.393	MA	1.585
192.127	3.233	rest	n/a
195.36	19.393	AM	2.601
214.753	3.233	rest	n/a
217.986	19.402	MA	4.98
237.388	3.225	rest	n/a
240.612	19.4	AM	3.462
260.013	3.233	rest	n/a
263.245	19.394	MA	1.66
282.639	3.232	rest	n/a
285.871	19.393	AM	1.743
305.264	3.233	rest	n/a
308.496	19.394	MA	2.962
327.89	3.232	rest	n/a
331.122	19.393	AM	2.034
350.515	3.233	rest	n/a
353.749	19.394	MA	2.047
373.142	3.232	rest	n/a
376.374	19.394	AM	2.387
395.768	3.24	rest	n/a
399.009	19.391	MA	4.067
418.4	3.233	rest	n/a
421.633	19.394	AM	2.75
441.028	3.232	rest	n/a
444.26	19.392	MA	4.944
463.652	3.233	rest	n/a
466.885	19.394	AM	1.461
486.279	3.232	rest	n/a
489.511	19.394	MA	5.132
508.905	3.231	rest	n/a
512.136	19.395	AM	1.868
531.531	3.232	rest	n/a
534.763	19.401	MA	2.107
554.164	3.232	rest	n/a
557.397	19.391	AM	1.432
576.788	3.233	rest	n/a
580.021	19.395	MA	1.264
599.415	3.233	rest	n/a
602.648	19.39	AM	1.751
622.039	3.234	rest	n/a
625.272	19.395	MA	3.277
644.667	3.232	rest	n/a
647.899	19.393	AM	2.12
667.292	3.232	rest	n/a
670.524	19.395	MA	2.268
689.919	3.0	rest	n/a
