onset	duration	trial_type	response_time
0.0	14.345	rest	n/a
14.345	19.399	AM	3.798
33.744	3.232	rest	n/a
36.977	19.393	MA	2.673
56.37	3.232	rest	n/a
59.602	19.394	AM	2.006
78.995	3.233	rest	n/a
82.228	19.393	MA	8.34
101.621	3.232	rest	n/a
104.853	19.393	AM	2.147
124.246	3.233	rest	n/a
127.479	19.393	MA	1.857
146.873	3.233	rest	n/a
150.105	19.394	AM	3.577
169.499	3.233	rest	n/a
172.733	19.4	MA	5.66
192.132	3.232	rest	n/a
195.365	19.393	AM	2.209
214.758	3.232	rest	n/a
217.991	19.394	MA	1.32
237.385	3.232	rest	n/a
240.616	19.393	AM	2.199
260.009	3.233	rest	n/a
263.242	19.393	MA	2.827
282.636	3.233	rest	n/a
285.868	19.393	AM	9.162
305.261	3.232	rest	n/a
308.493	19.394	MA	1.601
327.887	3.232	rest	n/a
331.12	19.402	AM	2.652
350.521	3.232	rest	n/a
353.754	19.393	MA	1.01
373.147	3.232	rest	n/a
376.379	19.393	AM	2.052
395.772	3.233	rest	n/a
399.005	19.393	MA	1.387
418.398	3.232	rest	n/a
421.631	19.393	AM	2.782
441.023	3.232	rest	n/a
444.256	19.393	MA	4.201
463.649	3.233	rest	n/a
466.882	19.392	AM	1.685
486.275	3.242	rest	n/a
489.516	19.392	MA	0.773
508.909	3.233	rest	n/a
512.142	19.393	AM	2.178
531.535	3.233	rest	n/a
534.768	19.392	MA	0.944
554.16	3.234	rest	n/a
557.394	19.393	AM	2.631
576.787	3.231	rest	n/a
580.018	19.393	MA	4.346
599.411	3.233	rest	n/a
602.644	19.394	AM	8.85
622.038	3.232	rest	n/a
625.27	19.394	MA	4.867
644.664	3.233	rest	n/a
647.897	19.4	AM	3.368
667.296	3.233	rest	n/a
670.529	19.395	MA	0.852
689.924	3.0	rest	n/a
