onset	duration	trial_type	response_time
0.0	14.346	rest	n/a
14.346	19.393	AM	14.984
33.739	3.232	rest	n/a
36.971	19.394	MA	4.059
56.365	3.233	rest	n/a
59.598	19.394	AM	3.939
78.992	3.232	rest	n/a
82.224	19.394	MA	1.514
101.617	3.235	rest	n/a
104.852	19.399	AM	2.106
124.251	3.232	rest	n/a
127.483	19.394	MA	5.704
146.877	3.233	rest	n/a
150.11	19.393	AM	2.487
169.502	3.233	rest	n/a
172.735	19.393	MA	3.673
192.128	3.232	rest	n/a
195.36	19.393	AM	1.67
214.753	3.232	rest	n/a
217.985	19.394	MA	11.001
237.379	3.233	rest	n/a
240.612	19.395	AM	3.007
260.007	3.232	rest	n/a
263.24	19.4	MA	2.097
282.64	3.232	rest	n/a
285.872	19.393	AM	3.005
305.265	3.233	rest	n/a
308.498	19.394	MA	3.605
327.891	3.232	rest	n/a
331.123	19.393	AM	2.286
350.516	3.232	rest	n/a
353.748	19.394	MA	3.214
373.142	3.232	rest	n/a
376.374	19.393	AM	2.13
395.768	3.233	rest	n/a
399.001	19.394	MA	1.509
418.394	3.233	rest	n/a
421.628	19.4	AM	1.579
441.028	3.233	rest	n/a
444.261	19.392	MA	2.56
463.653	3.233	rest	n/a
466.886	19.393	AM	2.293
486.279	3.232	rest	n/a
489.512	19.394	MA	5.038
508.906	3.232	rest	n/a
512.137	19.393	AM	2.282
531.53	3.233	rest	n/a
534.763	19.394	MA	1.108
554.157	3.232	rest	n/a
557.389	19.394	AM	5.175
576.783	3.24	rest	n/a
580.023	19.393	MA	3.73
599.416	3.233	rest	n/a
602.649	19.393	AM	6.48
622.042	3.232	rest	n/a
625.274	19.393	MA	1.72
644.667	3.233	rest	n/a
647.9	19.393	AM	3.674
667.293	3.233	rest	n/a
670.526	19.392	MA	1.12
689.918	3.0	rest	n/a
