onset	duration	trial_type	response_time
0.0	14.345	rest	n/a
14.345	19.401	AM	9.919
33.746	3.233	rest	n/a
36.979	19.386	MA	3.236
56.365	3.233	rest	n/a
59.598	19.4	AM	3.285
78.998	3.232	rest	n/a
82.23	19.394	MA	1.193
101.623	3.232	rest	n/a
104.855	19.393	AM	3.089
124.248	3.233	rest	n/a
127.481	19.394	MA	2.653
146.875	3.232	rest	n/a
150.107	19.394	AM	1.46
169.501	3.232	rest	n/a
172.732	19.394	MA	3.132
192.127	3.232	rest	n/a
195.359	19.401	AM	2.028
214.76	3.226	rest	n/a
217.986	19.401	MA	6.973
237.386	3.232	rest	n/a
240.618	19.393	AM	5.417
260.012	3.232	rest	n/a
263.243	19.394	MA	2.182
282.638	3.232	rest	n/a
285.87	19.393	AM	2.696
305.264	3.232	rest	n/a
308.495	19.394	MA	4.054
327.889	3.232	rest	n/a
331.121	19.394	AM	5.42
350.515	3.233	rest	n/a
353.747	19.401	MA	2.007
373.149	3.233	rest	n/a
376.381	19.393	AM	2.682
395.774	3.233	rest	n/a
399.007	19.393	MA	7.44
418.4	3.232	rest	n/a
421.632	19.393	AM	2.969
441.025	3.233	rest	n/a
444.258	19.394	MA	7.135
463.652	3.232	rest	n/a
466.884	19.393	AM	1.728
486.277	3.233	rest	n/a
489.51	19.394	MA	5.225
508.904	3.24	rest	n/a
512.144	19.385	AM	10.272
531.529	3.24	rest	n/a
534.77	19.392	MA	2.736
554.162	3.234	rest	n/a
557.396	19.393	AM	2.674
576.789	3.233	rest	n/a
580.021	19.392	MA	0.812
599.413	3.234	rest	n/a
602.647	19.393	AM	2.053
622.04	3.233	rest	n/a
625.272	19.392	MA	7.045
644.665	3.233	rest	n/a
647.898	19.394	AM	3.551
667.292	3.232	rest	n/a
670.524	19.401	MA	1.129
689.925	3.0	rest	n/a
