onset	duration	trial_type	response_time
0.0	14.333	rest	n/a
14.333	19.393	AM	8.076
33.726	3.232	rest	n/a
36.959	19.394	MA	4.046
56.352	3.232	rest	n/a
59.584	19.4	AM	3.202
78.984	3.234	rest	n/a
82.218	19.394	MA	3.286
101.612	3.232	rest	n/a
104.844	19.392	AM	3.094
124.236	3.234	rest	n/a
127.469	19.394	MA	5.53
146.864	3.232	rest	n/a
150.095	19.392	AM	4.651
169.487	3.233	rest	n/a
172.72	19.394	MA	3.753
192.115	3.232	rest	n/a
195.347	19.394	AM	2.917
214.741	3.24	rest	n/a
217.981	19.391	MA	6.996
237.372	3.233	rest	n/a
240.606	19.394	AM	5.735
260.0	3.233	rest	n/a
263.233	19.39	MA	4.026
282.623	3.234	rest	n/a
285.857	19.395	AM	2.771
305.252	3.233	rest	n/a
308.484	19.39	MA	4.499
327.875	3.234	rest	n/a
331.108	19.395	AM	3.454
350.503	3.233	rest	n/a
353.736	19.393	MA	4.447
373.129	3.232	rest	n/a
376.361	19.399	AM	3.125
395.76	3.228	rest	n/a
398.988	19.401	MA	7.495
418.389	3.232	rest	n/a
421.621	19.389	AM	4.524
441.011	3.234	rest	n/a
444.245	19.396	MA	4.004
463.64	3.232	rest	n/a
466.872	19.394	AM	4.821
486.266	3.23	rest	n/a
489.496	19.395	MA	7.442
508.891	3.233	rest	n/a
512.124	19.394	AM	4.228
531.518	3.233	rest	n/a
534.75	19.396	MA	5.406
554.147	3.234	rest	n/a
557.381	19.397	AM	4.946
576.778	3.232	rest	n/a
580.01	19.388	MA	3.822
599.398	3.235	rest	n/a
602.632	19.397	AM	5.184
622.029	3.232	rest	n/a
625.261	19.394	MA	3.904
644.654	3.231	rest	n/a
647.886	19.394	AM	5.816
667.28	3.232	rest	n/a
670.512	19.394	MA	3.234
689.906	3.0	rest	n/a
