onset	duration	trial_type	response_time
0.0	14.328	rest	n/a
14.328	19.394	AM	3.353
33.722	3.232	rest	n/a
36.954	19.393	MA	5.247
56.347	3.241	rest	n/a
59.589	19.385	AM	4.936
78.974	3.239	rest	n/a
82.213	19.394	MA	4.316
101.607	3.233	rest	n/a
104.84	19.39	AM	5.409
124.23	3.233	rest	n/a
127.463	19.396	MA	8.722
146.859	3.232	rest	n/a
150.091	19.391	AM	3.592
169.482	3.233	rest	n/a
172.715	19.395	MA	4.099
192.11	3.232	rest	n/a
195.342	19.394	AM	3.993
214.736	3.233	rest	n/a
217.968	19.394	MA	1.615
237.362	3.238	rest	n/a
240.601	19.395	AM	5.247
259.995	3.233	rest	n/a
263.228	19.39	MA	3.998
282.618	3.234	rest	n/a
285.852	19.395	AM	3.79
305.247	3.233	rest	n/a
308.48	19.39	MA	8.56
327.87	3.233	rest	n/a
331.102	19.396	AM	3.061
350.498	3.232	rest	n/a
353.731	19.393	MA	2.785
373.124	3.233	rest	n/a
376.357	19.394	AM	17.061
395.751	3.232	rest	n/a
398.983	19.402	MA	7.031
418.384	3.232	rest	n/a
421.616	19.39	AM	3.235
441.006	3.233	rest	n/a
444.239	19.397	MA	4.748
463.636	3.232	rest	n/a
466.868	19.39	AM	4.021
486.258	3.233	rest	n/a
489.491	19.396	MA	6.892
508.888	3.232	rest	n/a
512.119	19.394	AM	9.25
531.513	3.232	rest	n/a
534.745	19.394	MA	1.981
554.139	3.237	rest	n/a
557.376	19.397	AM	2.658
576.773	3.233	rest	n/a
580.005	19.388	MA	4.909
599.393	3.233	rest	n/a
602.626	19.398	AM	7.226
622.024	3.231	rest	n/a
625.256	19.394	MA	5.167
644.65	3.233	rest	n/a
647.883	19.393	AM	4.095
667.276	3.232	rest	n/a
670.508	19.393	MA	1.734
689.901	3.0	rest	n/a
