onset	duration	trial_type	response_time
0.0	14.317	rest	n/a
14.317	19.394	AM	8.053
33.711	3.232	rest	n/a
36.943	19.394	MA	6.989
56.337	3.237	rest	n/a
59.574	19.388	AM	5.975
78.963	3.24	rest	n/a
82.203	19.39	MA	3.046
101.593	3.234	rest	n/a
104.826	19.396	AM	3.656
124.223	3.231	rest	n/a
127.454	19.39	MA	9.359
146.844	3.236	rest	n/a
150.08	19.394	AM	4.13
169.474	3.232	rest	n/a
172.706	19.393	MA	4.006
192.099	3.233	rest	n/a
195.332	19.394	AM	4.097
214.726	3.232	rest	n/a
217.957	19.402	MA	6.823
237.359	3.225	rest	n/a
240.584	19.396	AM	5.017
259.98	3.233	rest	n/a
263.213	19.398	MA	6.43
282.611	3.232	rest	n/a
285.843	19.389	AM	2.9
305.232	3.233	rest	n/a
308.466	19.397	MA	5.067
327.862	3.232	rest	n/a
331.094	19.394	AM	4.082
350.488	3.232	rest	n/a
353.72	19.393	MA	5.067
373.113	3.233	rest	n/a
376.346	19.402	AM	3.914
395.748	3.224	rest	n/a
398.972	19.396	MA	6.624
418.368	3.234	rest	n/a
421.601	19.398	AM	6.481
441.0	3.232	rest	n/a
444.231	19.394	MA	6.053
463.626	3.231	rest	n/a
466.857	19.394	AM	7.312
486.251	3.232	rest	n/a
489.482	19.394	MA	6.211
508.876	3.232	rest	n/a
512.109	19.394	AM	2.588
531.503	3.232	rest	n/a
534.735	19.402	MA	4.216
554.136	3.232	rest	n/a
557.369	19.387	AM	2.761
576.756	3.233	rest	n/a
579.989	19.398	MA	3.05
599.387	3.233	rest	n/a
602.62	19.393	AM	4.268
622.013	3.233	rest	n/a
625.246	19.394	MA	6.84
644.64	3.231	rest	n/a
647.871	19.393	AM	5.807
667.264	3.233	rest	n/a
670.497	19.393	MA	1.789
689.89	3.0	rest	n/a
